Loading benchmark...
Loaded 180 samples
Shuffled with seed=42

Models to evaluate: ['qwen2.5-coder:7b']
  [51/180] d4b58587fa47... MS=1/1 (100.0%)
  [52/180] c49188ee3296... MS=2/2 (100.0%)
  [53/180] 8a8faa47c6c8... MS=1/2 (50.0%)
  [54/180] 748f38aa6d17... MS=1/1 (100.0%)
  [55/180] c433fdefe65b... MS=1/1 (100.0%)
  [56/180] 8598604d92a9... MS=0/2 (0.0%)
  [57/180] ec66a68e2960... MS=N/A (0 mutants)
  [58/180] 7b777904c99f... MS=1/1 (100.0%)
  [59/180] 436a6b9bd426... MS=2/2 (100.0%)
  [60/180] 1ead81832196... MS=1/1 (100.0%)
  [61/180] af7779518be0... MS=1/1 (100.0%)
  [62/180] bc43d4543d2a... MS=0/1 (0.0%)
  [63/180] f7e4c9246976... MS=2/2 (100.0%)
  [64/180] 4124b518ebf6... MS=2/2 (100.0%)
  [65/180] 535219d0e8d0... MS=0/1 (0.0%)
  [66/180] 22bbe082b9db... MS=3/3 (100.0%)
  [67/180] 225fec20dc2f... MS=3/3 (100.0%)
  [68/180] 5c8965c21de0... MS=2/2 (100.0%)
  [69/180] 4766d397da50... MS=10/10 (100.0%)
  [70/180] 8faefadee444... MS=1/1 (100.0%)
  [71/180] ed3a9591eda6... MS=1/1 (100.0%)
  [72/180] e9712872dadb... MS=N/A (0 mutants)
  [73/180] 3f13e6fe2eb7... MS=1/1 (100.0%)
  [74/180] 817a1fb8feaf... MS=5/5 (100.0%)
  [75/180] 44315e723003... MS=1/1 (100.0%)
  [76/180] 8e52cd3270d7... MS=2/2 (100.0%)
  [77/180] 4b6ab3210eab... MS=1/1 (100.0%)
  [78/180] cda8d336fca5... MS=1/1 (100.0%)
  [79/180] bbc95b9194e2... MS=1/1 (100.0%)
  [80/180] bfbbfe561050... MS=2/2 (100.0%)
  [81/180] 59e2b6c1d121... MS=1/1 (100.0%)
  [82/180] 7192bcfd3b7a... MS=4/4 (100.0%)
  [83/180] 081cdd366595... MS=2/2 (100.0%)
  [84/180] b4a3747c33f0... MS=1/1 (100.0%)
  [85/180] d1c0a90c6804... MS=1/1 (100.0%)
  [86/180] d762a9995fec... MS=3/3 (100.0%)
  [87/180] cf0df15b4145... MS=3/3 (100.0%)
  [88/180] f8a7d1937a42... MS=2/2 (100.0%)
  [89/180] 05e46c168e2f... MS=2/2 (100.0%)
  [90/180] c4bde2c2394d... MS=3/3 (100.0%)
  [91/180] 42ac364f2a6d... MS=2/2 (100.0%)
  [92/180] 1faa574b5b35... MS=2/2 (100.0%)
  [93/180] dc77ca03fa27... MS=1/1 (100.0%)
  [94/180] dd5a5bfefe7a... MS=2/2 (100.0%)
  [95/180] 330ba8c4a651... MS=4/4 (100.0%)
  [96/180] d731d1755882... MS=2/2 (100.0%)
  [97/180] f31e06473925... MS=2/2 (100.0%)
  [98/180] 958b7ab700cb... MS=3/3 (100.0%)
  [99/180] cd6fb27e189b... MS=5/5 (100.0%)
  [100/180] 2880a54902ce... MS=1/1 (100.0%)
  [101/180] 41a74e3cc959... MS=2/2 (100.0%)
  [102/180] bd4087a5c63a... MS=1/1 (100.0%)
  [103/180] 5b5ad3c2f000... MS=2/2 (100.0%)
  [104/180] cab4921ff2f7... MS=3/3 (100.0%)
  [105/180] a23cbbb1121b... MS=2/2 (100.0%)
  [106/180] 497bdcee229a... MS=2/2 (100.0%)
  [107/180] 01d5f5685c28... MS=0/1 (0.0%)
  [108/180] 569cccd88f97... MS=3/3 (100.0%)
  [109/180] c029d565f91d... MS=2/2 (100.0%)
  [110/180] 929f28165973... MS=1/1 (100.0%)
  [111/180] 8d76f979529c... MS=3/3 (100.0%)
  [112/180] b8ba954555f2... MS=1/1 (100.0%)
  [113/180] fee7450fd1b8... MS=1/1 (100.0%)
  [114/180] 11daa16bb346... MS=2/2 (100.0%)
  [115/180] bd470d00def0... MS=6/6 (100.0%)
  [116/180] a29ffa525c89... MS=4/4 (100.0%)
  [117/180] a57d82f6db66... MS=4/4 (100.0%)
  [118/180] c4bc210921ab... MS=3/3 (100.0%)
  [119/180] a668167f1f79... MS=2/2 (100.0%)
  [120/180] 249e2e30f8cb... MS=2/2 (100.0%)
  [121/180] d480c5581db4... MS=1/1 (100.0%)
  [122/180] fb552df69272... MS=3/3 (100.0%)
  [123/180] e2688e17c69a... MS=1/1 (100.0%)
  [124/180] 82f8a6437621... MS=1/1 (100.0%)
  [125/180] 426a186fd3e6... MS=2/2 (100.0%)
  [126/180] df5d5ca62c32... MS=N/A (0 mutants)
  [127/180] 27cb6b68f3c2... MS=1/1 (100.0%)
  [128/180] 225a8f4bb5bb... MS=2/2 (100.0%)
  [129/180] 4b0f836a9872... MS=2/2 (100.0%)
  [130/180] 3a980d8c8562... MS=3/3 (100.0%)
  [131/180] b5b35134b809... MS=2/2 (100.0%)
  [132/180] 182ee5c370fe... MS=2/2 (100.0%)
  [133/180] 23583d620488... MS=1/1 (100.0%)
  [134/180] d34a3602ec76... MS=5/5 (100.0%)
  [135/180] 65e280613c75... MS=1/1 (100.0%)
  [136/180] 6e2d7415be70... MS=4/4 (100.0%)
  [137/180] 750a6530ec7a... MS=1/1 (100.0%)
  [138/180] 6a3b974f9b46... MS=1/1 (100.0%)
  [139/180] 410e1906734c... MS=2/2 (100.0%)
  [140/180] 77fb4f610a6d... MS=3/3 (100.0%)
  [141/180] 2f8cf5c69c0d... MS=5/5 (100.0%)
  [142/180] 07fec7c11217... MS=3/3 (100.0%)
  [143/180] c185db6c5bee... MS=1/1 (100.0%)
  [144/180] 7aff94db15ab... MS=2/2 (100.0%)
  [145/180] 835ade3bfbe8... MS=2/2 (100.0%)
  [146/180] c52c3c0d889b... MS=2/2 (100.0%)
  [147/180] cb9ef5ce1eb2... MS=1/1 (100.0%)
  [148/180] 4cf0ca1efbf0... MS=2/2 (100.0%)
  [149/180] 17385ec56a2d... MS=3/3 (100.0%)
  [150/180] a0e933474977... MS=1/1 (100.0%)
  [151/180] a8416e8ec6d2... MS=1/1 (100.0%)
  [152/180] c9e1cfc5885c... MS=1/1 (100.0%)
  [153/180] 8cdd5905692f... MS=2/2 (100.0%)
  [154/180] d4606b97ec51... MS=1/1 (100.0%)
  [155/180] bc3fd12e59f7... MS=1/1 (100.0%)
  [156/180] ea5c4ee6fbf5... MS=2/3 (66.7%)
  [157/180] ae4696dc37a8... MS=2/2 (100.0%)
  [158/180] 6c905ae63086... MS=1/1 (100.0%)
  [159/180] 3e0fab53e928... MS=2/3 (66.7%)
  [160/180] efbb2d69ac55... MS=2/2 (100.0%)
  [161/180] fe87aea03cf7... MS=5/5 (100.0%)
  [162/180] 49dfe9e84f28... MS=1/1 (100.0%)
  [163/180] 9a76f9ac2904... MS=3/3 (100.0%)
  [164/180] d90dcd3dde42... MS=7/7 (100.0%)
  [165/180] 6bd246a31b95... MS=3/3 (100.0%)
  [166/180] 5e733701bbfc... MS=N/A (0 mutants)
  [167/180] 041b40582f81... MS=2/2 (100.0%)
  [168/180] 47758f9fc30d... MS=1/1 (100.0%)
  [169/180] 27f719be3297... MS=2/2 (100.0%)
  [170/180] c6b4345d0598... MS=2/2 (100.0%)
  [171/180] 5b42f265b88f... MS=2/2 (100.0%)
  [172/180] 31f7001e8a50... MS=N/A (0 mutants)
  [173/180] 0445426c2e33... MS=3/3 (100.0%)
  [174/180] 326f2c95e54b... MS=1/1 (100.0%)
  [175/180] 0e43ba01e18b... MS=2/3 (66.7%)
  [176/180] c1b7fe1d4d02... MS=1/1 (100.0%)
  [177/180] 317390c1db4f... MS=2/2 (100.0%)
  [178/180] b643810dc2a3... MS=1/1 (100.0%)
  [179/180] b46990fa9f86... MS=1/1 (100.0%)
  [180/180] 3ff0043f38b6... MS=6/6 (100.0%)

Computing reference test baseline...
Evaluating 180 samples...
  Progress: 10/180
  Progress: 20/180
Downloading...
Downloading...
Downloading...
  Progress: 30/180
  Progress: 40/180
  Progress: 50/180
  Progress: 60/180
  Progress: 70/180
  Progress: 80/180
  Progress: 90/180
  Progress: 100/180
  Progress: 110/180
  Progress: 120/180
  Progress: 130/180
  Progress: 140/180
  Progress: 150/180
  Progress: 160/180
  Progress: 170/180
  Progress: 180/180

====================================================================================================
LLM BASELINE RESULTS
====================================================================================================
Model                               Mutation     Vuln Det     Coverage     Sec Rel      Quality     
----------------------------------------------------------------------------------------------------
qwen2.5-coder:7b                         95.8%       7.8%      39.0%       0.0%       0.0%
----------------------------------------------------------------------------------------------------
Reference Tests                          56.3%      10.6%      23.5%       0.0%       0.0%
====================================================================================================

Results saved to: baselines/results/baseline_results_20260202_172724.json
